text,label,polarity,category,,,,1,0
"though howard demonstrates a great eye as a director , this southern gothic drama is sadly a tough sit , with an undeveloped narrative and enough flashbacks and heavy-handed metaphors to choke a horse -- or at least slow him down to a canter .",0,-0.049206349,‰∏≠Á? (Neutral),,,,,
it stays stable in your ear very nicely and is surprisingly very comfortable .,1,0.65,Á®±Ë? (Praise),,,,,
the material that it is made of is like a dirt magnet .,0,0,‰∏≠Á? (Neutral),,,,,
a meeting my phone is in the bag charging .,1,0,‰∏≠Á? (Neutral),,,,,
if you can afford it step up to something that will last .,0,0,‰∏≠Á? (Neutral),,,,,
i would not trust anything bigger than iphone num_extend,0,0,‰∏≠Á? (Neutral),,,,,
i was concerned for the price that these measuring cups would be flimsy .,1,0,‰∏≠Á? (Neutral),,,,,
the movie exists for its soccer action and its fine acting .,1,0.172222222,Á®±Ë? (Praise),,,,,
the bottom most container is not as small as one would think .,1,0.125,Á®±Ë? (Praise),,,,,
"usually when i get this much syrup , i like pancakes to go with it .",0,-0.025,‰∏≠Á? (Neutral),,,,,
"this headset is awesome ,  the sound quality is truly amazing .",1,0.666666667,Á®±Ë? (Praise),,,,,
ford deserves to be remembered at oscar time for crafting this wonderful portrait of a conflicted soldier .,1,1,Á®±Ë? (Praise),,,,,
trying to slide to a different screen instantly turns it back off .,0,0,‰∏≠Á? (Neutral),,,,,
steve irwin 's method is ernest hemmingway at accelerated speed and volume .,1,0,‰∏≠Á? (Neutral),,,,,
that is sufficiently minor as to not affect my rating .,1,-0.05,‰∏≠Á? (Neutral),,,,,
"the picture , scored by a perversely cheerful marcus miller accordion\/harmonica\/banjo abomination , is a monument to bad in all its florid variety .",0,-0.15,?πË? (Criticism),,,,,
high crimes miscasts nearly every leading character .,0,0.13,?πË? (Criticism),,,,,
a captivating cross-cultural comedy of manners .,1,0.5,Á®±Ë? (Praise),,,,,
"like a tone-deaf singer at a benefit concert , john q. is a bad movie appearing on behalf of a good cause .",0,5.55E-17,‰∏≠Á? (Neutral),,,,,
life is a crock -- or something like it .,0,0,‰∏≠Á? (Neutral),,,,,
"for its seriousness , high literary aspirations and stunning acting , the film can only be applauded .",1,0.152,Á®±Ë? (Praise),,,,,
replaced my pampered chef garlic press with this one .,1,0,‰∏≠Á? (Neutral),,,,,
i love the floral design and the colors .,1,0.5,Á®±Ë? (Praise),,,,,
i have read reviews from wine experts that it doesn t work .,1,0,‰∏≠Á? (Neutral),,,,,
a richly imagined and admirably mature work from a gifted director who definitely has something on his mind .,1,0.24375,Á®±Ë? (Praise),,,,,
"superior genre storytelling , which gets under our skin simply by crossing the nuclear line .",1,0.35,Á®±Ë? (Praise),,,,,
fear dot com is so rambling and disconnected it never builds any suspense .,0,0,‰∏≠Á? (Neutral),,,,,
i think i will return and stick with wool gloves .,0,0,‰∏≠Á? (Neutral),,,,,
so not that great for leaving on at night .,0,0.8,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
"places a slightly believable love triangle in a difficult-to-swallow setting , and then disappointingly moves the story into the realm of an improbable thriller .",0,0.133333333,?πË? (Criticism),,,,,
"the tug-of-war at the core of beijing bicycle becomes weighed down with agonizing contrivances , overheated pathos and long , wistful gazes .",0,-0.102777778,?πË? (Criticism),,,,,
"in the second half of the film , frei 's control loosens in direct proportion to the amount of screen time he gives nachtwey for self-analysis .",0,-0.022222222,‰∏≠Á? (Neutral),,,,,
"it 's so underwritten that you ca n't figure out just where the other characters , including ana 's father and grandfather , come down on the issue of ana 's future .",0,-0.093518519,‰∏≠Á? (Neutral),,,,,
imagine the james woods character from videodrome making a home movie of audrey rose and showing it to the kid from the sixth sense and you 've imagined the ring .,0,0.6,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
i think this size wont do a bigger bird than num_num pounds .,1,0,‰∏≠Á? (Neutral),,,,,
"it does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism .",1,0.325,Á®±Ë? (Praise),,,,,
"it s very black ,  and it does add volume .",0,-0.216666667,?πË? (Criticism),,,,,
i don t see what others have liked about this .,0,0.6,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
i received them as a christmas present and i love them .,1,0.25,Á®±Ë? (Praise),,,,,
i was glad to see it was still available .,1,0.45,Á®±Ë? (Praise),,,,,
nice not to have a burner going for hours .,1,0.6,Á®±Ë? (Praise),,,,,
the last time i did it was a year ago  .,1,0,‰∏≠Á? (Neutral),,,,,
i purchased two to mount horizontally under the shelves of my kitchen island .,1,0,‰∏≠Á? (Neutral),,,,,
"the pleasures of super troopers may be fleeting , but they 'll register strongly with anybody who still retains a soft spot for precollegiate humor .",1,0.288888889,Á®±Ë? (Praise),,,,,
plugs the ipad into my car and works great .,1,0.8,Á®±Ë? (Praise),,,,,
the flap also is good and does not come loose at all .,1,0.311538462,Á®±Ë? (Praise),,,,,
"it 's a sly wink to the others without becoming a postmodern joke , made creepy by its `` men in a sardine can '' warped logic .",1,-0.025,‰∏≠Á? (Neutral),,,,,
"an unsatisfying hybrid of blair witch and typical stalk-and-slash fare , where the most conservative protagonist is always the last one living .",0,0.111111111,?πË? (Criticism),,,,,
i purchased this jawbone hd as a replacement for an older jawbone thinker .,0,0.166666667,?πË? (Criticism),,,,,
but what spectacular sizzle it is !,1,0.75,Á®±Ë? (Praise),,,,,
"toasts bread ,  muffins and bagels with lots of options to choose .",1,0,‰∏≠Á? (Neutral),,,,,
"despite the authenticity of the trappings , the film is overblown in its plotting , hackneyed in its dialogue and anachronistic in its style .",0,0,‰∏≠Á? (Neutral),,,,,
a film that is a portrait of grace in an imperfect world .,1,0,‰∏≠Á? (Neutral),,,,,
"herzog is obviously looking for a moral to his fable , but the notion that a strong , unified showing among germany and eastern european jews might have changed 20th-century history is undermined by ahola 's inadequate performance .",0,0.108333333,?πË? (Criticism),,,,,
"the overall feel of the film is pretty cheesy , but there 's still a real sense that the star trek tradition has been honored as best it can , given the embarrassing script and weak direction .",0,0.095833333,‰∏≠Á? (Neutral),,,,,
"dialogue-heavy and too cerebral for its own good -- or , at any rate , too cerebral for its racy subject matter .",0,0.377777778,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
i use it charge my batteries since my usb port is not an option .,1,0,‰∏≠Á? (Neutral),,,,,
"feels like one of those contrived , only-in - hollywood productions where name actors deliver big performances created for the sole purpose of generating oscar talk .",0,-0.166666667,?πË? (Criticism),,,,,
this film 's relationship to actual tension is the same as what christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .,0,-0.106666667,?πË? (Criticism),,,,,
"great charger ,  though there may be cheaper options .",1,0.8,Á®±Ë? (Praise),,,,,
all my testing proves the same . hope that helps .,1,0.15,Á®±Ë? (Praise),,,,,
i ve used these a few times and broke them very easily .,0,0.181666667,?πË? (Criticism),,,,,
so far i am not at all happy .,0,0.45,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
"one of those rare , exhilarating cinematic delights that gets even better in hindsight , as you mull over its every nuance in your mind .",1,0.375,Á®±Ë? (Praise),,,,,
westfeldt and juergensen exude a chemistry and comfort level that 's both saucy and endearing .,1,0.5,Á®±Ë? (Praise),,,,,
but it offers plenty to ponder and chew on as its unusual relationship slowly unfolds .,1,0,‰∏≠Á? (Neutral),,,,,
writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear .,1,-0.1,Á®±Ë? (Praise),,,,,
imagine if you will a tony hawk skating video interspliced with footage from behind enemy lines and set to jersey shore techno .,0,-0.4,?πË? (Criticism),,,,,
"order it with something else ,  and you ll get free shipping .",1,0.4,Á®±Ë? (Praise),,,,,
the only element of suspense is whether the movie will change titles or distributors again before the closing credits roll .,0,0,‰∏≠Á? (Neutral),,,,,
"shainberg weaves a carefully balanced scenario that is controlled by neither character , is weirdly sympathetic to both and manages to be tender and darkly comic .",1,0.216666667,Á®±Ë? (Praise),,,,,
no. .,0,0,‰∏≠Á? (Neutral),,,,,
these run quite small even though they are stretchy .,0,-0.25,?πË? (Criticism),,,,,
"whether seen on a 10-inch television screen or at your local multiplex , the edge-of-your-seat , educational antics of steve irwin are priceless entertainment .",1,0.416666667,Á®±Ë? (Praise),,,,,
this case is far from what i expected .,0,0,‰∏≠Á? (Neutral),,,,,
"as a singular character study , it 's perfect .",1,1,Á®±Ë? (Praise),,,,,
"complex , affecting and uniquely almod??var , the film evokes strong emotions and pushes viewers to question their deepest notions of moral right and wrong .",1,0.049007937,‰∏≠Á? (Neutral),,,,,
the smartest bonehead comedy of the summer .,1,0,‰∏≠Á? (Neutral),,,,,
it is best to invest in a good set of makeup brushes .,0,0.85,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
i made flour tortillas that night for our mexican burrito dinner .,1,0,‰∏≠Á? (Neutral),,,,,
i would not buy anything else from this vendor .,0,0,‰∏≠Á? (Neutral),,,,,
there are films that try the patience of even the most cinema-besotted critic -- and this was one of them .,0,0.5,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
this salad spinner is durable and easy to use .,1,0.433333333,Á®±Ë? (Praise),,,,,
"for the price ,  this is a good buy .",1,0.7,Á®±Ë? (Praise),,,,,
but fans should have fun meeting a brand-new pokemon called celebi .,1,0.3,Á®±Ë? (Praise),,,,,
"audiences conditioned to getting weepy over saucer-eyed , downy-cheeked moppets and their empathetic caretakers will probably feel emotionally cheated by the film 's tart , sugar-free wit .",0,0,‰∏çÁ¢∫ÂÆ?(Uncertain),,,,,
not to mention it did not fit my screen completely .,0,-0.05,‰∏≠Á? (Neutral),,,,,
there are num_num bright leds for taking pictures or just as a flashlight .,1,0.7,Á®±Ë? (Praise),,,,,
"i enjoyed the ride -lrb- bumps and all -rrb- , creamy depth , and ultimate theme .",1,0.25,Á®±Ë? (Praise),,,,,
"i saw knockaround guys yesterday , and already the details have faded like photographs from the spanish-american war ... it 's so unmemorable that it turned my ballpoint notes to invisible ink .",0,0,‰∏≠Á? (Neutral),,,,,
my dish feels very solid to the touch .,1,0,‰∏≠Á? (Neutral),,,,,
$ is too much to pay for a $ cable .,0,0.2,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
"by the end of no such thing the audience , like beatrice , has a watchful affection for the monster .",1,0,‰∏≠Á? (Neutral),,,,,
but it pays a price for its intricate intellectual gamesmanship .,0,0.3,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
we have been treating our hair for months and finally got this .,0,0,‰∏≠Á? (Neutral),,,,,
i bought this set for our toaster oven .,0,0,‰∏≠Á? (Neutral),,,,,
just hurry up and play the darn song and move on for goodness sake .,0,0,‰∏≠Á? (Neutral),,,,,
"the plot is straight off the shelf , the performances are television - caliber and the message of providing solace through deception is a little creepy .",0,-0.1625,?πË? (Criticism),,,,,
while mcfarlane 's animation lifts the film firmly above the level of other coming-of-age films ... it 's also so jarring that it 's hard to get back into the boys ' story .,0,-0.104166667,?πË? (Criticism),,,,,
"everything that has to do with yvan and charlotte , and everything that has to do with yvan 's rambunctious , jewish sister and her non-jew husband , feels funny and true .",1,0.2,Á®±Ë? (Praise),,,,,
this one does the job i need it for !  .,1,0,‰∏≠Á? (Neutral),,,,,
"when it 's all wet , blue crush is highly enjoyable .",1,0.133333333,Á®±Ë? (Praise),,,,,
unfortunately this product did not do much for me .,0,-0.15,?πË? (Criticism),,,,,
still it is a fun learning experience and so far so good .,1,0.366666667,Á®±Ë? (Praise),,,,,
a deviant topical comedy which is funny from start to finish .,1,0.125,Á®±Ë? (Praise),,,,,
if you can get past the fantastical aspects and harsh realities of `` the isle '' you 'll get a sock-you-in-the-eye flick that is a visual tour-de-force and a story that is unlike any you will likely see anywhere else .,1,-0.1125,Á®±Ë? (Praise),,,,,
this did not stop odor and my pets wanted to eat it .,0,0,‰∏≠Á? (Neutral),,,,,
not a good product for conditioning even though it says it has shea butter .,0,-0.35,?πË? (Criticism),,,,,
he s heavy and stable enough to not tip over when it s windy .,1,-0.1,‰∏≠Á? (Neutral),,,,,
the filmmakers skillfully evoke the sense of menace that nature holds for many urban dwellers .,1,0.25,Á®±Ë? (Praise),,,,,
and do not remove part one of the screen until part two is applied .,1,0,‰∏≠Á? (Neutral),,,,,
i may even give some as gifts this holiday season .,1,0,‰∏≠Á? (Neutral),,,,,
"it it pretty hardy ,  i haven t broken it yet .",1,-0.075,‰∏≠Á? (Neutral),,,,,
well-shot but badly written tale set in a future ravaged by dragons .,0,-0.35,?πË? (Criticism),,,,,
"these are lives worth watching , paths worth following .",1,0.2,Á®±Ë? (Praise),,,,,
i cannot wait to show it off ! thank you !  .,1,0,‰∏≠Á? (Neutral),,,,,
like how many times you face the nazgul and how easily they are beaten .,0,0.466666667,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
beyond a handful of mildly amusing lines ... there just is n't much to laugh at .,0,0.45,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
spent more time fiddling with this than i did looking at the road .,0,0.2,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
i bought the lowest priced model more to test the brand than anything else .,1,0.5,Á®±Ë? (Praise),,,,,
i though it would be faster and easier but it wasn t .,1,0,‰∏≠Á? (Neutral),,,,,
if your bike had a kickstand on the plate it won t lock down .,0,-0.155555556,?πË? (Criticism),,,,,
something the true film buff will enjoy .,1,0.375,Á®±Ë? (Praise),,,,,
most of crush is a clever and captivating romantic comedy with a welcome pinch of tartness .,1,0.393333333,Á®±Ë? (Praise),,,,,
i tried everything short of breaking the thing open .,0,0,‰∏≠Á? (Neutral),,,,,
"great headset ,  solid build quality and blocks out the wind .",1,0.4,Á®±Ë? (Praise),,,,,
i loved the food for my cats as you can read below .,0,0.7,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
"its like that showtime rotisserrie oven ,  you set it and forget it .",1,0,‰∏≠Á? (Neutral),,,,,
i ordered these from amazon since i could find them nowhere in my area .,0,0,‰∏≠Á? (Neutral),,,,,
i had much better luck with the other three pairs mentioned .,0,0.1875,?πË? (Criticism),,,,,
i put in a password but router won t recoginize it .,0,0,‰∏≠Á? (Neutral),,,,,
"it takes this never-ending confusion and hatred , puts a human face on it , evokes shame among all who are party to it and even promotes understanding .",1,0,‰∏≠Á? (Neutral),,,,,
i got this as a gift for my son .,1,0,‰∏≠Á? (Neutral),,,,,
"num_extend has much better graphics ,  better sound ,  slightly better control .",0,0.475,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
maybe i found the proceedings a little bit too conventional .,0,-0.165178571,‰∏çÁ¢∫ÂÆ?(Uncertain),,,,,
it basically picks up what is directly in front of it .,1,0.1,‰∏≠Á? (Neutral),,,,,
"what full frontal lacks in thematic coherence it largely makes up for as loosey-goosey , experimental entertainment .",1,0.166071429,Á®±Ë? (Praise),,,,,
... the sum of the parts equals largely a confused mediocrity .,0,-0.3,‰∏çÁ¢∫ÂÆ?(Uncertain),,,,,
almost everything else is wan .,0,-0.2,?πË? (Criticism),,,,,
this style of meat pounder is sort of commodity like .,1,0,‰∏≠Á? (Neutral),,,,,
"even as lame horror flicks go , this is lame .",0,-0.5,?πË? (Criticism),,,,,
they pile up nice in the closet and clean up great in the dishwasher .,1,0.588888889,Á®±Ë? (Praise),,,,,
"a boring , wincingly cute and nauseatingly politically correct cartoon guaranteed to drive anyone much over age 4 screaming from the theater .",0,-0.075,‰∏≠Á? (Neutral),,,,,
the film runs on equal parts of innocence and wisdom -- wisdom that comes with experience .,1,0,‰∏≠Á? (Neutral),,,,,
the wheel oftenly stuck and wont turn on its rail .,0,0,‰∏≠Á? (Neutral),,,,,
i would not suggest this on black iphones .,1,-0.166666667,Á®±Ë? (Praise),,,,,
one minute per slice seems like a good rule of thumb so far .,1,0.4,Á®±Ë? (Praise),,,,,
the cheese came out light and fluffy wished i had had one earlier .,1,0.066666667,‰∏≠Á? (Neutral),,,,,
"auto shut off after num_num hours ,  which is a good feature .",1,0.7,Á®±Ë? (Praise),,,,,
"too loud , too long and too frantic by half , die another day suggests that the bond franchise has run into a creative wall that 007 can not fly over , tunnel under or barrel through .",0,-0.003333333,‰∏≠Á? (Neutral),,,,,
just do your homework and you will end up pretty satisfied .,1,0.375,Á®±Ë? (Praise),,,,,
this bold and lyrical first feature from raja amari expands the pat notion that middle-aged women just wanna have fun into a rousing treatise of sensual empowerment .,1,0.294444444,Á®±Ë? (Praise),,,,,
sugar is extremely addictive and does absolutely nothing for your body .,0,0.1,‰∏≠Á? (Neutral),,,,,
then into my phone and it chargers my phone .,1,0,‰∏≠Á? (Neutral),,,,,
there is no menu selection for find free books .,0,0.4,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
i only ordered on here because they were alot cheaper .,0,0,‰∏≠Á? (Neutral),,,,,
"a hip ride into hyper-time , clockstoppers is a lively and enjoyable adventure for all ages at any time .",1,0.318181818,Á®±Ë? (Praise),,,,,
voice command is better on this set than other ones i ve tried .,1,0.1875,Á®±Ë? (Praise),,,,,
i kept it though i do not use it .,0,0,‰∏≠Á? (Neutral),,,,,
despite the port breaking it gets num_extend stars .,1,0,‰∏≠Á? (Neutral),,,,,
the main flavor to come through is cinnamon and the slight sweetness of stevia .,0,0,‰∏≠Á? (Neutral),,,,,
director rob marshall went out gunning to make a great one .,1,0.8,Á®±Ë? (Praise),,,,,
we usually run it on low and it is relatively quite .,1,-0.083333333,‰∏≠Á? (Neutral),,,,,
i can t believe i haven t owned one of these before .,1,0,‰∏≠Á? (Neutral),,,,,
a marvellous journey from childhood idealism to adolescent self-absorption .,1,0,‰∏≠Á? (Neutral),,,,,
and i wanted them all to be easy to access .,0,0.433333333,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
it does this to a very significant degree and is extremely uncomfortable to wear .,0,-0.00625,‰∏≠Á? (Neutral),,,,,
"christians sensitive to a reductionist view of their lord as a luv-spreading dr. feelgood or omnipotent slacker will feel vastly more affronted than secularists , who might even praise god for delivering such an instant camp classic .",1,0.153333333,Á®±Ë? (Praise),,,,,
i did not have what i felt were unrealistic expectations of this device .,1,-0.5,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
shocking only in that it reveals the filmmaker 's bottomless pit of self-absorption .,0,-0.5,?πË? (Criticism),,,,,
... too gory to be a comedy and too silly to be an effective horror film .,0,-0.133333333,?πË? (Criticism),,,,,
"sunshine state lacks the kind of dynamic that limbo offers , and in some ways is a rather indulgent piece .",0,0.233333333,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
"a sour , nasty offering .",0,-0.575,?πË? (Criticism),,,,,
"finish is great ,  and it makes great french toast .",1,0.533333333,Á®±Ë? (Praise),,,,,
"ultimately the project comes across as clinical , detached , uninvolving , possibly prompting audience members to wonder , ` what 's the point ? '",0,0,‰∏≠Á? (Neutral),,,,,
"unfortunately ,  not my blackberry nor my cell phone .",0,0.25,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
the acting alone is worth the price of admission .,1,0.15,Á®±Ë? (Praise),,,,,
another thing i really like is that it does not have rivets .,1,0.2,Á®±Ë? (Praise),,,,,
it worked for maybe num_num months then died .,0,0,‰∏çÁ¢∫ÂÆ?(Uncertain),,,,,
i do n't think i 've been as entranced and appalled by an asian film since shinya tsukamoto 's iron man .,1,-0.4,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
this turner has worked well for the last few years .,1,-0.1,‰∏≠Á? (Neutral),,,,,
of course the german s call this sort of idea good engineering .,1,0.35,Á®±Ë? (Praise),,,,,
"synching is simple ,  with no passwords or codes required .",1,0,‰∏≠Á? (Neutral),,,,,
notorious c.h.o. has oodles of vulgar highlights .,0,-0.7,?πË? (Criticism),,,,,
"the character is too forced and overwritten to be funny or believable much of the time , and clayburgh does n't always improve the over-the-top mix .",0,0.03,‰∏≠Á? (Neutral),,,,,
"whether you 're moved and love it , or bored or frustrated by the film , you 'll still feel something .",1,-0.233333333,Ë´∑Âà∫?ñÊ∑∑??(Sarcasm/Mixed),,,,,
