row_id,sub_id,split_text,LABEL,NUM_SPLITS,Anger_count,Disgust_count,Fear_count,Joy_count,Sadness_count,Surprise_count,Trust_count,Anticipation_count,Anger_freq,Disgust_freq,Fear_freq,Joy_freq,Sadness_freq,Surprise_freq,Trust_freq,Anticipation_freq
31,0,pretty much all i ask for in a grinder .,1,1,0,0,0,1,0,0,1,1,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25
32,0,"snug fit ,  with all the buttons and holes perfectly aligned .",1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0,"also ,  it creates more static than the one i m used to .",0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0,"this road movie gives you emotional whiplash , and you 'll be glad you went along for the ride .",1,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333
35,0,"stars matthew perry and elizabeth hurley illicit more than a chuckle ,",0,3,1,1,1,2,0,1,2,2,0.076923,0.076923,0.076923,0.153846,0.0,0.076923,0.153846,0.153846
35,1,"and more jokes land than crash ,",0,3,0,0,1,0,1,1,0,0,0.0,0.0,0.166667,0.0,0.166667,0.166667,0.0,0.0
35,2,but ultimately serving sara does n't distinguish itself from the herd .,0,3,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
36,0,"a triumph , relentless and beautiful in its downbeat darkness .",1,1,1,0,1,2,1,0,0,1,0.111111,0.0,0.111111,0.222222,0.111111,0.0,0.0,0.111111
37,0,"a very witty take on change , risk and romance ,",1,2,0,0,3,2,1,1,1,2,0.0,0.0,0.230769,0.153846,0.076923,0.076923,0.076923,0.153846
37,1,and the film uses humour to make its points about acceptance and growth .,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0,perfect size for preparing dishes . it really works well .,1,1,0,0,0,1,0,0,1,1,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25
39,0,it keeps the air clean and nice fresh smelling .,1,1,0,1,0,1,0,0,1,0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0
40,0,i do n't have an i am sam clue .,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,0,but the back side looks nice as well .,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0,"a dreary , incoherent , self-indulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours ... a cacophony of pretentious , meaningless prattle .",0,1,1,3,0,0,2,0,0,0,0.076923,0.230769,0.0,0.0,0.153846,0.0,0.0,0.0
43,0,think of it as a sort of comfort food for the mind .,1,1,0,0,0,2,0,0,2,1,0.0,0.0,0.0,0.285714,0.0,0.0,0.285714,0.142857
44,0,this keeps the cord out of the way and above the board .,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45,0,"what will , most likely , turn out to be the most repellent movie of 2002 .",0,1,1,1,1,0,0,0,0,0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
46,0,item arrived in num_num days in bulk packaging exactly like j .,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0,a chaotic panorama that 's too busy flying a lot of metaphoric flags .,0,1,1,0,1,0,0,0,0,0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
48,0,"and ,  there were many things we liked about this game .",0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0,what makes the movie a comedy is the way it avoids the more serious emotions involved .,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0,thank heaven the operation is intuitive because there are no instructions .,0,1,0,0,1,0,0,0,2,0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0
51,0,i miss my days of cracker eating before becoming gluten free .,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0,"so ,  to me this is pretty darn  instant  .",1,1,0,0,0,1,0,0,1,1,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25
53,0,a well-made and often lovely depiction of the mysteries of friendship .,1,1,0,0,0,2,1,2,2,2,0.0,0.0,0.0,0.181818,0.090909,0.181818,0.181818,0.181818
54,0,"occasionally melodramatic , it 's also extremely effective .",1,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
55,0,"even with all those rough edges safely sanded down , the american insomnia is still pretty darned good .",1,1,0,0,0,2,0,1,2,2,0.0,0.0,0.0,0.222222,0.0,0.111111,0.222222,0.222222
56,0,"like i said ,  it works ,  these are ok .",1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0,this is junk food cinema at its greasiest .,0,1,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0
58,0,"-lrb- wendigo is -rrb- why we go to the cinema : to be fed through the eye , the heart , the mind .",1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0,"a mix of velocity and idiocy , this ruinous remake lacks the brawn -- and the brains -- of the 1970s original .",0,1,2,2,1,0,2,0,0,0,0.181818,0.181818,0.090909,0.0,0.181818,0.0,0.0,0.0
60,0,"without september 11 , collateral damage would have been just another bad movie .",0,1,2,2,1,0,2,0,1,0,0.2,0.2,0.1,0.0,0.2,0.0,0.1,0.0
61,0,"my little girl wanted this for her birthday ,  so we got it .",0,1,0,0,0,1,0,1,0,1,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25
62,0,i wouldn t trade them,1,2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
62,1,but this is a great knife for the price .,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0,"static , repetitive , muddy and blurry , hey arnold !",0,1,0,1,0,0,0,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
64,0,a predictable and stereotypical little b-movie .,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0,"so many documentaries like this presuppose religious bigotry or zealous nuttiness of its antagonists ,",1,2,1,0,0,1,0,0,1,0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0
65,1,but family fundamentals displays a rare gift for unflinching impartiality .,1,2,0,0,0,1,0,1,2,1,0.0,0.0,0.0,0.125,0.0,0.125,0.25,0.125
66,0,flaccid drama and exasperatingly slow journey .,0,1,0,0,1,1,1,0,0,1,0.0,0.0,0.166667,0.166667,0.166667,0.0,0.0,0.166667
67,0,the movie will reach far beyond its core demographic .,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0,one to another company and two to amazon . com .,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0,"though howard demonstrates a great eye as a director , this southern gothic drama is sadly a tough sit , with an undeveloped narrative and enough flashbacks and heavy-handed metaphors to choke a horse -- or at least slow him down to a canter .",0,1,1,0,0,0,3,0,2,0,0.1,0.0,0.0,0.0,0.3,0.0,0.2,0.0
70,0,it stays stable in your ear very nicely and is surprisingly very comfortable .,1,1,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25
71,0,the material that it is made of is like a dirt magnet .,0,1,0,1,0,0,0,0,1,0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0
72,0,a meeting my phone is in the bag charging .,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0,if you can afford it step up to something that will last .,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0,i would not trust anything bigger than iphone num_extend,0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
75,0,i was concerned for the price that these measuring cups would be flimsy .,1,1,0,0,1,0,1,0,0,0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
76,0,the movie exists for its soccer action and its fine acting .,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0,the bottom most container is not as small as one would think .,1,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0
78,0,"usually when i get this much syrup , i like pancakes to go with it .",0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0,"this headset is awesome ,  the sound quality is truly amazing .",1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0,ford deserves to be remembered at oscar time for crafting this wonderful portrait of a conflicted soldier .,1,1,1,0,0,1,1,1,1,1,0.125,0.0,0.0,0.125,0.125,0.125,0.125,0.125
81,0,trying to slide to a different screen instantly turns it back off .,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0,steve irwin 's method is ernest hemmingway at accelerated speed and volume .,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0,that is sufficiently minor as to not affect my rating .,1,1,1,0,1,0,1,0,0,0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0
84,0,"the picture , scored by a perversely cheerful marcus miller accordion\/harmonica\/banjo abomination , is a monument to bad in all its florid variety .",0,1,2,2,2,1,1,1,0,0,0.153846,0.153846,0.153846,0.076923,0.076923,0.076923,0.0,0.0
85,0,high crimes miscasts nearly every leading character .,0,1,1,0,0,0,0,0,1,0,0.333333,0.0,0.0,0.0,0.0,0.0,0.333333,0.0
86,0,a captivating cross-cultural comedy of manners .,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0,"like a tone-deaf singer at a benefit concert , john q. is a bad movie appearing on behalf of a good cause .",0,1,1,2,1,1,1,1,1,1,0.076923,0.153846,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923
88,0,life is a crock -- or something like it .,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0,"for its seriousness , high literary aspirations and stunning acting , the film can only be applauded .",1,1,0,0,1,1,1,1,1,1,0.0,0.0,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857
90,0,replaced my pampered chef garlic press with this one .,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0,i love the floral design and the colors .,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0
92,0,i have read reviews from wine experts that it doesn t work .,1,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
93,0,a richly imagined and admirably mature work from a gifted director who definitely has something on his mind .,1,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0
94,0,"superior genre storytelling , which gets under our skin simply by crossing the nuclear line .",1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0,fear dot com is so rambling,0,2,1,0,1,0,0,0,0,0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0
95,1,and disconnected it never builds any suspense .,0,2,0,0,1,0,1,1,0,1,0.0,0.0,0.166667,0.0,0.166667,0.166667,0.0,0.166667
96,0,i think i will return,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,1,and stick with wool gloves .,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0,so not that great for leaving on at night .,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0,"places a slightly believable love triangle in a difficult-to-swallow setting ,",0,2,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
98,1,and then disappointingly moves the story into the realm of an improbable thriller .,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0,"the tug-of-war at the core of beijing bicycle becomes weighed down with agonizing contrivances , overheated pathos and long , wistful gazes .",0,1,0,0,1,0,0,0,0,1,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25
100,0,"in the second half of the film , frei 's control loosens in direct proportion to the amount of screen time he gives nachtwey for self-analysis .",0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
101,0,"it 's so underwritten that you ca n't figure out just where the other characters , including ana 's father and grandfather , come down on the issue of ana 's future .",0,1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0
102,0,imagine the james woods character from videodrome making a home movie of audrey rose,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,1,and showing it to the kid from the sixth sense,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,2,and you 've imagined the ring .,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0,i think this size wont do a bigger bird than num_num pounds .,1,1,1,0,0,0,0,0,0,1,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
104,0,"it does succeed by following a feel-good formula with a winning style ,",1,2,0,1,0,2,1,2,3,2,0.0,0.071429,0.0,0.142857,0.071429,0.142857,0.214286,0.142857
104,1,and by offering its target audience of urban kids some welcome role models and optimism .,1,2,0,0,0,1,0,1,2,2,0.0,0.0,0.0,0.125,0.0,0.125,0.25,0.25
105,0,"it s very black ,",0,2,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
105,1,and it does add volume .,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,0,i don t see what others have liked about this .,0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
107,0,i received them as a christmas present,1,2,0,0,0,1,0,1,1,1,0.0,0.0,0.0,0.166667,0.0,0.166667,0.166667,0.166667
107,1,and i love them .,1,2,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
108,0,i was glad to see it was still available .,1,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333
109,0,nice not to have a burner going for hours .,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,0,the last time i did it was a year ago  .,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
111,0,i purchased two to mount horizontally under the shelves of my kitchen island .,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,0,"the pleasures of super troopers may be fleeting ,",1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,1,but they 'll register strongly with anybody who still retains a soft spot for precollegiate humor .,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,0,plugs the ipad into my car,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,1,and works great .,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,0,the flap also is good,1,2,0,0,0,1,0,1,1,1,0.0,0.0,0.0,0.166667,0.0,0.166667,0.166667,0.166667
114,1,and does not come loose at all .,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,0,"it 's a sly wink to the others without becoming a postmodern joke , made creepy by its `` men in a sardine can '' warped logic .",1,1,1,1,1,0,0,0,0,0,0.166667,0.166667,0.166667,0.0,0.0,0.0,0.0,0.0
116,0,"an unsatisfying hybrid of blair witch and typical stalk-and-slash fare , where the most conservative protagonist is always the last one living .",0,1,1,1,1,0,0,0,0,0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
117,0,i purchased this jawbone hd as a replacement for an older jawbone thinker .,0,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
118,0,but what spectacular sizzle it is !,1,1,1,0,0,0,0,1,0,1,0.333333,0.0,0.0,0.0,0.0,0.333333,0.0,0.333333
119,0,"toasts bread ,  muffins and bagels with lots of options to choose .",1,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0
120,0,"despite the authenticity of the trappings , the film is overblown in its plotting , hackneyed in its dialogue and anachronistic in its style .",0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
121,0,a film that is a portrait of grace in an imperfect world .,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,0,"herzog is obviously looking for a moral to his fable ,",0,2,1,0,0,0,0,0,1,0,0.333333,0.0,0.0,0.0,0.0,0.0,0.333333,0.0
122,1,"but the notion that a strong , unified showing among germany and eastern european jews might have changed 20th-century history is undermined by ahola 's inadequate performance .",0,2,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
123,0,"the overall feel of the film is pretty cheesy ,",0,2,0,0,0,1,0,0,1,1,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25
123,1,"but there 's still a real sense that the star trek tradition has been honored as best it can , given the embarrassing script and weak direction .",0,2,0,0,0,1,0,0,2,1,0.0,0.0,0.0,0.111111,0.0,0.0,0.222222,0.111111
124,0,"dialogue-heavy and too cerebral for its own good -- or , at any rate , too cerebral for its racy subject matter .",0,1,0,0,0,1,0,1,1,1,0.0,0.0,0.0,0.125,0.0,0.125,0.125,0.125
125,0,i use it charge my batteries since my usb port is not an option .,1,1,1,0,0,0,0,0,0,0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,0,"feels like one of those contrived , only-in - hollywood productions where name actors deliver big performances created for the sole purpose of generating oscar talk .",0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
127,0,this film 's relationship to actual tension is the same as what christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .,0,1,1,0,0,0,0,0,1,0,0.166667,0.0,0.0,0.0,0.0,0.0,0.166667,0.0
128,0,"great charger ,",1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,1,though there may be cheaper options .,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0,all my testing proves the same . hope that helps .,1,1,0,0,0,1,0,1,1,1,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2
130,0,i ve used these a few times,0,2,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
130,1,and broke them very easily .,0,2,0,0,1,0,1,0,0,0,0.0,0.0,0.333333,0.0,0.333333,0.0,0.0,0.0
131,0,so far i am not at all happy .,0,1,0,0,0,1,0,0,1,1,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25
132,0,"one of those rare , exhilarating cinematic delights that gets even better in hindsight , as you mull over its every nuance in your mind .",1,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333
133,0,westfeldt and juergensen exude a chemistry and comfort level that 's both saucy and endearing .,1,1,0,0,0,1,0,0,2,1,0.0,0.0,0.0,0.166667,0.0,0.0,0.333333,0.166667
134,0,but it offers plenty to ponder,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,1,and chew on as its unusual relationship slowly unfolds .,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,0,writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear .,1,1,1,0,1,0,2,1,0,1,0.1,0.0,0.1,0.0,0.2,0.1,0.0,0.1
136,0,imagine if you will a tony hawk skating video interspliced with footage from behind enemy lines,0,2,1,1,2,0,0,0,0,0,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0
136,1,and set to jersey shore techno .,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,0,"order it with something else ,",1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,1,and you ll get free shipping .,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,0,the only element of suspense is whether the movie will change titles or distributors again before the closing credits roll .,0,1,0,0,2,0,0,1,2,1,0.0,0.0,0.25,0.0,0.0,0.125,0.25,0.125
139,0,"shainberg weaves a carefully balanced scenario that is controlled by neither character , is weirdly sympathetic to both",1,2,0,0,1,1,1,0,1,0,0.0,0.0,0.142857,0.142857,0.142857,0.0,0.142857,0.0
