TEXT,LABEL,Category
i would not trust anything bigger than iphone num_extend,0,central
i was concerned for the price that these measuring cups would be flimsy .,1,central
the movie exists for its soccer action and its fine acting .,1,positive
the bottom most container is not as small as one would think .,1,positive
"usually when i get this much syrup , i like pancakes to go with it .",0,central
"this headset is awesome ,  the sound quality is truly amazing .",1,positive
ford deserves to be remembered at oscar time for crafting this wonderful portrait of a conflicted soldier .,1,positive
trying to slide to a different screen instantly turns it back off .,0,central
steve irwin 's method is ernest hemmingway at accelerated speed and volume .,1,central
that is sufficiently minor as to not affect my rating .,1,central
"the picture , scored by a perversely cheerful marcus miller accordion\/harmonica\/banjo abomination , is a monument to bad in all its florid variety .",0,negative
high crimes miscasts nearly every leading character .,0,negative
a captivating cross-cultural comedy of manners .,1,positive
"like a tone-deaf singer at a benefit concert , john q. is a bad movie appearing on behalf of a good cause .",0,central
life is a crock -- or something like it .,0,central
"for its seriousness , high literary aspirations and stunning acting , the film can only be applauded .",1,positive
replaced my pampered chef garlic press with this one .,1,central
i love the floral design and the colors .,1,positive
i have read reviews from wine experts that it doesn t work .,1,central
a richly imagined and admirably mature work from a gifted director who definitely has something on his mind .,1,positive
"superior genre storytelling , which gets under our skin simply by crossing the nuclear line .",1,positive
fear dot com is so rambling and disconnected it never builds any suspense .,0,central
i think i will return and stick with wool gloves .,0,central
so not that great for leaving on at night .,0,mixed
"places a slightly believable love triangle in a difficult-to-swallow setting , and then disappointingly moves the story into the realm of an improbable thriller .",0,negative
"the tug-of-war at the core of beijing bicycle becomes weighed down with agonizing contrivances , overheated pathos and long , wistful gazes .",0,negative
"in the second half of the film , frei 's control loosens in direct proportion to the amount of screen time he gives nachtwey for self-analysis .",0,central
"it 's so underwritten that you ca n't figure out just where the other characters , including ana 's father and grandfather , come down on the issue of ana 's future .",0,central
imagine the james woods character from videodrome making a home movie of audrey rose and showing it to the kid from the sixth sense and you 've imagined the ring .,0,mixed
i think this size wont do a bigger bird than num_num pounds .,1,central
"it does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism .",1,positive
"it s very black ,  and it does add volume .",0,negative
i don t see what others have liked about this .,0,mixed
i received them as a christmas present and i love them .,1,positive
i was glad to see it was still available .,1,positive
nice not to have a burner going for hours .,1,positive
the last time i did it was a year ago  .,1,central
i purchased two to mount horizontally under the shelves of my kitchen island .,1,central
"the pleasures of super troopers may be fleeting , but they 'll register strongly with anybody who still retains a soft spot for precollegiate humor .",1,positive
plugs the ipad into my car and works great .,1,positive
the flap also is good and does not come loose at all .,1,positive
"it 's a sly wink to the others without becoming a postmodern joke , made creepy by its `` men in a sardine can '' warped logic .",1,central
"an unsatisfying hybrid of blair witch and typical stalk-and-slash fare , where the most conservative protagonist is always the last one living .",0,negative
i purchased this jawbone hd as a replacement for an older jawbone thinker .,0,negative
but what spectacular sizzle it is !,1,positive
"toasts bread ,  muffins and bagels with lots of options to choose .",1,central
"despite the authenticity of the trappings , the film is overblown in its plotting , hackneyed in its dialogue and anachronistic in its style .",0,central
a film that is a portrait of grace in an imperfect world .,1,central
"herzog is obviously looking for a moral to his fable , but the notion that a strong , unified showing among germany and eastern european jews might have changed 20th-century history is undermined by ahola 's inadequate performance .",0,negative
"the overall feel of the film is pretty cheesy , but there 's still a real sense that the star trek tradition has been honored as best it can , given the embarrassing script and weak direction .",0,central
"dialogue-heavy and too cerebral for its own good -- or , at any rate , too cerebral for its racy subject matter .",0,mixed
i use it charge my batteries since my usb port is not an option .,1,central
"feels like one of those contrived , only-in - hollywood productions where name actors deliver big performances created for the sole purpose of generating oscar talk .",0,negative
this film 's relationship to actual tension is the same as what christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .,0,negative
"great charger ,  though there may be cheaper options .",1,positive
all my testing proves the same . hope that helps .,1,positive
i ve used these a few times and broke them very easily .,0,negative
so far i am not at all happy .,0,mixed
"one of those rare , exhilarating cinematic delights that gets even better in hindsight , as you mull over its every nuance in your mind .",1,positive
westfeldt and juergensen exude a chemistry and comfort level that 's both saucy and endearing .,1,positive
but it offers plenty to ponder and chew on as its unusual relationship slowly unfolds .,1,central
writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear .,1,positive
imagine if you will a tony hawk skating video interspliced with footage from behind enemy lines and set to jersey shore techno .,0,negative
"order it with something else ,  and you ll get free shipping .",1,positive
the only element of suspense is whether the movie will change titles or distributors again before the closing credits roll .,0,central
"shainberg weaves a carefully balanced scenario that is controlled by neither character , is weirdly sympathetic to both and manages to be tender and darkly comic .",1,positive
no. .,0,central
these run quite small even though they are stretchy .,0,negative
"whether seen on a 10-inch television screen or at your local multiplex , the edge-of-your-seat , educational antics of steve irwin are priceless entertainment .",1,positive
this case is far from what i expected .,0,central
"as a singular character study , it 's perfect .",1,positive
"complex , affecting and uniquely almod??var , the film evokes strong emotions and pushes viewers to question their deepest notions of moral right and wrong .",1,central
the smartest bonehead comedy of the summer .,1,central
it is best to invest in a good set of makeup brushes .,0,mixed
i made flour tortillas that night for our mexican burrito dinner .,1,central
i would not buy anything else from this vendor .,0,central
there are films that try the patience of even the most cinema-besotted critic -- and this was one of them .,0,mixed
this salad spinner is durable and easy to use .,1,positive
"for the price ,  this is a good buy .",1,positive
but fans should have fun meeting a brand-new pokemon called celebi .,1,positive
"audiences conditioned to getting weepy over saucer-eyed , downy-cheeked moppets and their empathetic caretakers will probably feel emotionally cheated by the film 's tart , sugar-free wit .",0,central
not to mention it did not fit my screen completely .,0,central
there are num_num bright leds for taking pictures or just as a flashlight .,1,positive
"i enjoyed the ride -lrb- bumps and all -rrb- , creamy depth , and ultimate theme .",1,positive
"i saw knockaround guys yesterday , and already the details have faded like photographs from the spanish-american war ... it 's so unmemorable that it turned my ballpoint notes to invisible ink .",0,central
my dish feels very solid to the touch .,1,central
$ is too much to pay for a $ cable .,0,mixed
"by the end of no such thing the audience , like beatrice , has a watchful affection for the monster .",1,central
but it pays a price for its intricate intellectual gamesmanship .,0,mixed
we have been treating our hair for months and finally got this .,0,central
i bought this set for our toaster oven .,0,central
just hurry up and play the darn song and move on for goodness sake .,0,central
"the plot is straight off the shelf , the performances are television - caliber and the message of providing solace through deception is a little creepy .",0,negative
while mcfarlane 's animation lifts the film firmly above the level of other coming-of-age films ... it 's also so jarring that it 's hard to get back into the boys ' story .,0,negative
"everything that has to do with yvan and charlotte , and everything that has to do with yvan 's rambunctious , jewish sister and her non-jew husband , feels funny and true .",1,positive
this one does the job i need it for !  .,1,central
"when it 's all wet , blue crush is highly enjoyable .",1,positive
unfortunately this product did not do much for me .,0,negative
still it is a fun learning experience and so far so good .,1,positive
a deviant topical comedy which is funny from start to finish .,1,positive
if you can get past the fantastical aspects and harsh realities of `` the isle '' you 'll get a sock-you-in-the-eye flick that is a visual tour-de-force and a story that is unlike any you will likely see anywhere else .,1,positive
this did not stop odor and my pets wanted to eat it .,0,central
not a good product for conditioning even though it says it has shea butter .,0,negative
he s heavy and stable enough to not tip over when it s windy .,1,central
the filmmakers skillfully evoke the sense of menace that nature holds for many urban dwellers .,1,positive
and do not remove part one of the screen until part two is applied .,1,central
i may even give some as gifts this holiday season .,1,central
"it it pretty hardy ,  i haven t broken it yet .",1,central
well-shot but badly written tale set in a future ravaged by dragons .,0,negative
"these are lives worth watching , paths worth following .",1,positive
i cannot wait to show it off ! thank you !  .,1,central
like how many times you face the nazgul and how easily they are beaten .,0,mixed
beyond a handful of mildly amusing lines ... there just is n't much to laugh at .,0,mixed
spent more time fiddling with this than i did looking at the road .,0,mixed
i bought the lowest priced model more to test the brand than anything else .,1,positive
i though it would be faster and easier but it wasn t .,1,central
if your bike had a kickstand on the plate it won t lock down .,0,negative
something the true film buff will enjoy .,1,positive
most of crush is a clever and captivating romantic comedy with a welcome pinch of tartness .,1,positive
i tried everything short of breaking the thing open .,0,central
"great headset ,  solid build quality and blocks out the wind .",1,positive
i loved the food for my cats as you can read below .,0,mixed
"its like that showtime rotisserrie oven ,  you set it and forget it .",1,central
i ordered these from amazon since i could find them nowhere in my area .,0,central
i had much better luck with the other three pairs mentioned .,0,negative
i put in a password but router won t recoginize it .,0,central
"it takes this never-ending confusion and hatred , puts a human face on it , evokes shame among all who are party to it and even promotes understanding .",1,central
i got this as a gift for my son .,1,central
"num_extend has much better graphics ,  better sound ,  slightly better control .",0,mixed
maybe i found the proceedings a little bit too conventional .,0,negative
it basically picks up what is directly in front of it .,1,central
"what full frontal lacks in thematic coherence it largely makes up for as loosey-goosey , experimental entertainment .",1,positive
... the sum of the parts equals largely a confused mediocrity .,0,negative
almost everything else is wan .,0,negative
this style of meat pounder is sort of commodity like .,1,central
"even as lame horror flicks go , this is lame .",0,negative
they pile up nice in the closet and clean up great in the dishwasher .,1,positive
"a boring , wincingly cute and nauseatingly politically correct cartoon guaranteed to drive anyone much over age 4 screaming from the theater .",0,central
the film runs on equal parts of innocence and wisdom -- wisdom that comes with experience .,1,central
the wheel oftenly stuck and wont turn on its rail .,0,central
i would not suggest this on black iphones .,1,positive
one minute per slice seems like a good rule of thumb so far .,1,positive
the cheese came out light and fluffy wished i had had one earlier .,1,central
"auto shut off after num_num hours ,  which is a good feature .",1,positive
"too loud , too long and too frantic by half , die another day suggests that the bond franchise has run into a creative wall that 007 can not fly over , tunnel under or barrel through .",0,central
just do your homework and you will end up pretty satisfied .,1,positive
this bold and lyrical first feature from raja amari expands the pat notion that middle-aged women just wanna have fun into a rousing treatise of sensual empowerment .,1,positive
sugar is extremely addictive and does absolutely nothing for your body .,0,central
then into my phone and it chargers my phone .,1,central
there is no menu selection for find free books .,0,mixed
i only ordered on here because they were alot cheaper .,0,central
"a hip ride into hyper-time , clockstoppers is a lively and enjoyable adventure for all ages at any time .",1,positive
voice command is better on this set than other ones i ve tried .,1,positive
i kept it though i do not use it .,0,central
despite the port breaking it gets num_extend stars .,1,central
the main flavor to come through is cinnamon and the slight sweetness of stevia .,0,central
director rob marshall went out gunning to make a great one .,1,positive
we usually run it on low and it is relatively quite .,1,central
i can t believe i haven t owned one of these before .,1,central
a marvellous journey from childhood idealism to adolescent self-absorption .,1,central
and i wanted them all to be easy to access .,0,mixed
it does this to a very significant degree and is extremely uncomfortable to wear .,0,central
"christians sensitive to a reductionist view of their lord as a luv-spreading dr. feelgood or omnipotent slacker will feel vastly more affronted than secularists , who might even praise god for delivering such an instant camp classic .",1,positive
i did not have what i felt were unrealistic expectations of this device .,1,mixed
shocking only in that it reveals the filmmaker 's bottomless pit of self-absorption .,0,negative
... too gory to be a comedy and too silly to be an effective horror film .,0,negative
"sunshine state lacks the kind of dynamic that limbo offers , and in some ways is a rather indulgent piece .",0,mixed
"a sour , nasty offering .",0,negative
"finish is great ,  and it makes great french toast .",1,positive
"ultimately the project comes across as clinical , detached , uninvolving , possibly prompting audience members to wonder , ` what 's the point ? '",0,central
"unfortunately ,  not my blackberry nor my cell phone .",0,mixed
the acting alone is worth the price of admission .,1,positive
another thing i really like is that it does not have rivets .,1,positive
it worked for maybe num_num months then died .,0,central
i do n't think i 've been as entranced and appalled by an asian film since shinya tsukamoto 's iron man .,1,mixed
this turner has worked well for the last few years .,1,central
of course the german s call this sort of idea good engineering .,1,positive
"synching is simple ,  with no passwords or codes required .",1,central
notorious c.h.o. has oodles of vulgar highlights .,0,negative
"the character is too forced and overwritten to be funny or believable much of the time , and clayburgh does n't always improve the over-the-top mix .",0,central
"whether you 're moved and love it , or bored or frustrated by the film , you 'll still feel something .",1,mixed
we miss the quirky amazement that used to come along for an integral part of the ride .,0,central
"sluggishly directed by episodic tv veteran joe zwick , it 's a sitcom without the snap-crackle .",0,central
a dreary rip-off of goodfellas that serves as a muddled and offensive cautionary tale for hispanic americans .,0,negative
"spousal abuse is a major problem in contemporary society , but the film reduces this domestic tragedy to florid melodrama .",0,central
"do n't plan on the perfect ending , but sweet home alabama hits the mark with critics who escaped from a small town life .",1,positive
"to the film 's credit , the acting is fresh and unselfconscious , and munch is a marvel of reality versus sappy sentiment .",1,positive
"a sensual performance from abbass buoys the flimsy story , but her inner journey is largely unexplored and we 're left wondering about this exotic-looking woman whose emotional depths are only hinted at .",1,central
"truth to tell , if you 've seen more than half-a-dozen horror films , there 's nothing here you have n't seen before .",0,mixed
you 've seen them a million times .,0,central
"other than that small problem ,  this is a great bt headdest .",1,positive
will grab your children by the imagination and amaze them and amuse them .,1,central
it is so small . get a racket ball . pass this one by .,0,negative
"a thoughtful , moving piece that faces difficult issues with honesty and beauty .",1,central
i did n't believe for a moment in these villains or their plot .,0,central
"the film benefits greatly from a less manic tone than its predecessor , as cho appears to have settled comfortably into her skin .",1,positive
"one of those movies where you walk out of the theater not feeling cheated exactly , but feeling pandered to , which , in the end , might be all the more infuriating .",0,central
"as adapted by kevin molony from simon leys ' novel `` the death of napoleon '' and directed by alan taylor , napoleon 's journey is interesting but his parisian rebirth is stillborn",0,mixed
"only an epic documentary could get it all down , and spike lee 's jim brown : all american at long last gives its subject a movie worthy of his talents .",1,central
"it might be tempting to regard mr. andrew and his collaborators as oddballs , but mr. earnhart 's quizzical , charming movie allows us to see them , finally , as artists .",1,positive
"once the charger is removed ,  the phone starts working ,  again .",0,central
seems to working fine in my mother s humidifier .,1,positive
they have a medium pile lining that has more of a stiffer polyester feel .,0,mixed
"it 's an example of sophisticated , challenging filmmaking that stands , despite its noticeable lack of emotional heft , in welcome contrast to the indulgent dead-end experimentation of the director 's previous full frontal .",1,positive
"this cuddly sequel to the 1999 hit is a little more visually polished , a little funnier , and a little more madcap .",1,central
easy to put on and i have no problems .,1,positive
"though everything might be literate and smart , it never took off and always seemed static .",0,mixed
"a thoughtful , provocative , insistently humanizing film .",1,positive
"the wwii drama is well plotted , visually striking and filled with enjoyably complex characters who are never what they first appear .",1,positive
"i do n't know precisely what to make of steven soderbergh 's full frontal , though that did n't stop me from enjoying much of it .",1,positive
the result is something quite fresh and delightful .,1,positive
one of the greatest romantic comedies of the past decade .,1,positive
haneke challenges us to confront the reality of sexual aberration .,1,positive
the plot is so predictable and sentimental that viewers are likely to lose interest before sandrine and her goats walk off into the sunset .,0,negative
it 's also heavy-handed and devotes too much time to bigoted views .,0,mixed
plus its from amazon and amazon wouldn t put their name on crap .,1,mixed
games like gem journey are easier to play with a stylus like this .,1,central
"i ll stick to my xbox for now ,  thanks .",0,mixed
the same panel buttons are there but in a better placement .,1,positive
"it feels like a community theater production of a great broadway play : even at its best , it will never hold a candle to the original .",0,mixed
"... perhaps the heaviest , most joyless movie ever made about giant dragons taking over the world .",0,mixed
i have dropped the phone onto a tile floor and it is fine .,1,positive
"once again , director jackson strikes a rewarding balance between emotion on the human scale and action\/effects on the spectacular scale .",1,positive
he read every amazon . com review as well as the zojirushi website .,1,central
"however ,  slicing up tons of veggies can be quite time consuming .",1,central
hawke draws out the best from his large cast in beautifully articulated portrayals that are subtle and so expressive they can sustain the poetic flights in burdette 's dialogue .,1,positive
the recipe that comes with it is tasty .,1,central
"hand graters can be a mess to clean ,  especially under the handle .",1,central
this is definitely not the case with the num_extend,1,central
looks like a high school film project completed the day before it was due .,0,central
i also have to hold the headphone cord to keep it from flapping around .,0,central
"witty , touching and well paced .",1,positive
"this version 's no classic like its predecessor , but its pleasures are still plentiful .",1,central
my first draft of this review was also way too long .,0,central
her delivery and timing are flawless .,1,positive
speedloader is very hard to use especially with an extended magazine .,0,negative
"a graceless , witless attempt at mating some like it hot with the wwii espionage thriller .",0,mixed
frida 's artistic brilliance is undeniable -- it 's among the most breathtakingly designed films i 've ever seen .,1,positive
"first good , then bothersome .",0,mixed
at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance .,1,positive
"if your senses have n't been dulled by slasher films and gorefests , if you 're a connoisseur of psychological horror , this is your ticket .",1,central
don t buy this unless you like replacing toasters .,0,central
i am glad that i did not spend a fortune on the electric models .,1,positive
unfortunately i m not sure what all the five star reviews are for .,0,negative
"the plot is very clever , but boyd weighs it down with too many characters and events , all intertwined and far too complicated to keep track of .",0,central
ridiculous !  i had trouble getting it on with zero bubbles .,0,negative
a very stylish but ultimately extremely silly tale ... a slick piece of nonsense but nothing more .,0,central
"the computer recognized the usb connection ,  but the cursor never moved .",0,central
it s too bad because they look like they would keep my ears warm .,0,central
little more than a frothy vanity project .,0,negative
this is the old faithful water filter pitcher .,1,central
just spend the extra bucks and buy an official one from apple .,0,central
the constriction on my dog caused him to sit .,0,central
"at times , however , dogtown and z-boys lapses into an insider 's lingo and mindset that the uninitiated may find hard to follow , or care about .",0,negative
"pretty darn good , despite its smarty-pants aura .",1,positive
its very similar to that type of style .,0,central
it was just what i expected it to be .,1,central
"it 's rare to find a film that dazzles the eye , challenges the brain , and satisfies our lust for fast-paced action , but minority report delivers all that and a whole lot more .",1,positive
i give it five stars for making eating good so easy !  .,1,positive
a long-winded and stagy session of romantic contrivances that never really gels like the shrewd feminist fairy tale it could have been .,0,negative
i wore this product today for a few hours today .,0,negative
it 's as flat as an open can of pop left sitting in the sun .,0,central
"this warm and gentle romantic comedy has enough interesting characters to fill several movies , and its ample charms should win over the most hard-hearted cynics .",1,positive
it did what it was supposed to do .,1,central
resourceful and ingenious entertainment .,1,positive
"i then emptied th coffee grinder and looked for an obstruction ,  none .",0,central
"edited and shot with a syncopated style mimicking the work of his subjects , pray turns the idea of the documentary on its head , making it rousing , invigorating fun lacking any mtv puffery .",1,positive
take the whole thing out in the sink .,1,positive
this is a happy throwback to the time when cartoons were cinema 's most idiosyncratic form instead of one of its most predictable .,1,positive
"4 friends , 2 couples , 2000 miles , and all the pabst blue ribbon beer they can drink - it 's the ultimate redneck road-trip .",1,central
the balm is crap more like a vaseline stick .,0,negative
my wife despises window fans usually and she loves this thing too .,1,mixed
the movie quickly drags on becoming boring and predictable .,0,negative
"it 's drained of life in an attempt to be sober and educational , and yet it 's so devoid of realism that its lack of whistles and bells just makes it obnoxious and stiff .",0,central
"also ,  the knife is easy to maneuver despite its length .",1,positive
"an enjoyable film for the family , amusing and cute for both adults and kids .",1,positive
this knife sharpener more than met our expectations .,1,positive
"it 's a pleasure to see seinfeld griping about the biz with buddies chris rock , garry shandling and colin quinn .",1,central
and it s a bread knife and nothing all that special .,1,positive
place it in the freezer and close the door .,1,central
i threw it out because i can t take alcohol .,0,central
if you need a pot with this capacity num_extend qts  buy this one .,1,central
"too silly to be frightening , too stolid to be funny , it projects the same lazy affability as its nominal star , david arquette .",0,negative
it makes a farce out of a good num_num num_extend,0,negative
"not a movie but a live-action agitprop cartoon so shameless and coarse , it 's almost funny .",0,negative
dash mounts are either bulky and in the way or not strong enough .,1,positive
i have had two of these cans outside for over a year .,1,central
"a graceful , contemplative film that gradually and artfully draws us into a world where the personal and the political get fatally intertwined .",1,central
"the passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air .",1,positive
moderately involving despite bargain-basement photography and hackneyed romance .,0,central
i expected an improvement in signal strength from my tiny usb direct plugin type .,0,central
"gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up .",0,central
the sum of all fears is almost impossible to follow -- and there 's something cringe-inducing about seeing an american football stadium nuked as pop entertainment .,0,negative
"after four days of that ,  i gave up and chucked it .",0,central
the visuals alone make metropolis worth seeing .,1,positive
"a real movie , about real people , that gives us a rare glimpse into a culture most of us do n't know .",1,positive
"helmer devito ... attempts to do too many things in this story about ethics , payola , vice , murder , kids ' tv and revenge .",0,mixed
it is not difficult to clean or assemble .,1,positive
i say this as a guy with fairly thin wrists too .,0,negative
and still the focus was extremely soft or just plain terrible .,0,negative
most operations there is a noticable delay lag of num_extend to num_num seconds .,0,mixed
"we can see the wheels turning , and we might resent it sometimes , but this is still a nice little picture , made by bright and friendly souls with a lot of good cheer .",1,positive
... as the story congeals you feel the pieces of the star wars saga falling into place in a way that makes your spine tingle with revelation and excitement .,1,central
i was surprised as the box seemed to be in good shape .,0,mixed
that does not hold true for this product .,0,mixed
i had it professionally installed at a local bike shop .,0,central
should have a wider design for different foods .,1,central
"my goodness , queen latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts .",1,central
it is worse then no lube because it gets soooo sticky .,0,negative
"an impossible romance , but we root for the patronized iranian lad .",1,mixed
"oh ,  and the battery life is pretty decent .",1,positive
gosling provides an amazing performance that dwarfs everything else in the film .,1,positive
"while not as aggressively impressive as its american counterpart , `` in the bedroom , '' moretti 's film makes its own , quieter observations",1,positive
"i did n't laugh at the ongoing efforts of cube , and his skinny buddy mike epps , to make like laurel and hardy 'n the hood .",0,mixed
"there is a kind of attentive concern that hoffman brings to his characters , as if he has been giving them private lessons , and now it is time for their first public recital .",1,positive
i ve not been terribly impressed with this box .,0,mixed
"the unceasing sadism is so graphically excessive , the director just ends up exposing his own obsession .",0,central
i did not buy from a num_extend party seller .,0,central
but it didn t do anything for my face .,0,central
"the streets , shot by cinematographer michael ballhaus , may be as authentic as they are mean , but it is nearly impossible to care about what happens on them .",0,negative
try explaining to a two year old why her tattoo keeps  breaking  .,0,central
"it is also , at times , curiously moving .",1,central
i also love it because the jar is plastic .,1,positive
a painfully leaden film destined for pre-dawn cable television slots .,0,negative
"we both use the blackberry num_num curve ,  which each use bluetooth version num_extend",1,central
"does what a fine documentary does best : it extends a warm invitation into an unfamiliar world , then illuminates it fully and allows the larger implications of the journey to sink in unobtrusively .",1,positive
i bought this toy for my boys a few years back .,0,central
i was bored after the first num_num minutes .,0,negative
"spyro games always used to be fun ,  but that tradition ends here .",0,mixed
this case is cute however the is the only good thing about it .,0,mixed
u.s. audiences may find -lrb- attal and gainsbourg 's -rrb- unfamiliar personas give the film an intimate and quaint reality that is a little closer to human nature than what hollywood typically concocts .,1,central
it is close to the old one i had for years .,1,central
i would not buy this again in the future .,0,central
"if this holiday movie is supposed to be a gift , somebody unwrapped it early , took out all the good stuff , and left behind the crap -lrb- literally -rrb- .",0,central
"the movie is as far as you can get from racy , to the point where it almost stops the blood flow to your brain ; it has a dull , costumey feel .",0,central
what 's most striking about this largely celebratory film ... is the sense of isolation that permeates these bastions of individuality in an ikea world .,1,positive
so i purchased another knife sharpener for this our num_num yankee swap .,1,central
you 'll have more fun setting fire to yourself in the parking lot .,0,mixed
it has a num_num year warranty on defects too .,1,central
-lrb- u -rrb- nrelentingly stupid .,0,negative
it is a poor performer when it comes to odor retention and clumping .,0,negative
effectively feeds our senses with the chilling sights and sounds from within the camp to create a completely numbing experience .,1,central
hope this lasts longer than my last grinder so can buy as a gift .,1,central
the kids often appear to be reading the lines and are incapable of conveying any emotion .,0,central
"flotsam in the sea of moviemaking , not big enough for us to worry about it causing significant harm and not smelly enough to bother despising .",0,central
once it dies i will purchase a better unit .,1,positive
"the film would work much better as a video installation in a museum , where viewers would be free to leave .",0,mixed
"exquisitely acted and masterfully if preciously interwoven ... -lrb- the film -rrb- addresses in a fascinating , intelligent manner the intermingling of race , politics and local commerce .",1,positive
i must find a way to return them .,0,central
one corner is slightly taller than the other but its hardly noticeable .,1,positive
