row_id,text,true_label,pred_label,prob_neg,prob_pos,confidence,error_type
531,"unfortunately , heartbreak hospital wants to convey the same kind of haughtiness in its own sketchy material but this territory has already been explored previously with better aplomb and sardonic wit . but this territory has already been explored previously with better aplomb and sardonic wit .",0,1,0.1973,0.8027,0.8027,FP (誤報正類)
1189,i have purchased fairly cheap holders from motorola and they lasted a while . while .,0,1,0.198,0.802,0.802,FP (誤報正類)
1604,then i put the cream on my feet especially around my toes and heels .,0,1,0.1981,0.8019,0.8019,FP (誤報正類)
807,i never thought about making cheese until ree drummond made some on her show .,1,0,0.7681,0.2319,0.7681,FN (漏報正類)
631,you ve probably seen them use it on iron chef .,1,0,0.7669,0.2331,0.7669,FN (漏報正類)
400,i bought this toy for my boys a few years back .,0,1,0.2523,0.7477,0.7477,FP (誤報正類)
1588,"to ataris credit ,  this game was a bit fun .",0,1,0.2554,0.7446,0.7446,FP (誤報正類)
1631,its good that its made in canada rather than china .,0,1,0.2784,0.7216,0.7216,FP (誤報正類)
248,i do n't think i 've been as entranced and appalled by an asian film since shinya tsukamoto 's iron man .,1,0,0.7187,0.2813,0.7187,FN (漏報正類)
1636,when purchased i discovered there was a newer product update :  model num_extend,1,0,0.6886,0.3114,0.6886,FN (漏報正類)
799,please reply with the filter part number and your location .,0,1,0.3157,0.6843,0.6843,FP (誤報正類)
692,another num_num calories from the other num_num grams of carbohydrates .,0,1,0.3214,0.6786,0.6786,FP (誤報正類)
1846,i put my kitchen appliances through the ringer .,1,0,0.6671,0.3329,0.6671,FN (漏報正類)
501,worked best on older new england house with narrow staircase .,0,1,0.3348,0.6652,0.6652,FP (誤報正類)
699,"more honest about alzheimer 's disease , i think , than iris .",1,0,0.6554,0.3446,0.6554,FN (漏報正類)
1913,old grandson loves all things that have to do with construction .,0,1,0.3683,0.6317,0.6317,FP (誤報正類)
1741,recently threw in the trash as the line wore out .,1,0,0.6294,0.3706,0.6294,FN (漏報正類)
1152,i also prefered the blade weight and thickness of the wustof .,1,0,0.6215,0.3785,0.6215,FN (漏報正類)
572,i would definitely recommend this for a cute case .,1,0,0.6215,0.3785,0.6215,FN (漏報正類)
290,games like gem journey are easier to play with a stylus like this .,1,0,0.6084,0.3916,0.6084,FN (漏報正類)
23,"as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten .",1,0,0.6055,0.3945,0.6055,FN (漏報正類)
1126,it 's a great deal of sizzle and very little steak .,0,1,0.3982,0.6018,0.6018,FP (誤報正類)
1577,this cream will give you acne if you have sensitive skin .,0,1,0.4013,0.5987,0.5987,FP (誤報正類)
1611,"nevertheless ,  the smell lasts for num_num or num_num minutes tops . nevertheless ,  the smell lasts for num_num or num_num minutes tops .",0,1,0.4138,0.5862,0.5862,FP (誤報正類)
1783,those who managed to avoid the deconstructionist theorizing of french philosopher jacques derrida in college can now take an 85-minute brush-up course with the documentary derrida .,0,1,0.4513,0.5487,0.5487,FP (誤報正類)
735,"a teasing drama whose relentless good-deed\/bad-deed reversals are just interesting enough to make a sinner like me pray for an even more interesting , less symmetrical , less obviously cross-shaped creation .",1,0,0.5466,0.4534,0.5466,FN (漏報正類)
150,there are films that try the patience of even the most cinema-besotted critic -- and this was one of them .,0,1,0.47,0.53,0.53,FP (誤報正類)
1613,"maybe it 's asking too much , but if a movie is truly going to inspire me , i want a little more than this . but if a movie is truly going to inspire me , i want a little more than this .",0,1,0.4803,0.5197,0.5197,FP (誤報正類)
71,the material that it is made of is like a dirt magnet .,0,1,0.4938,0.5062,0.5062,FP (誤報正類)
227,i kept it though i do not use it . though i do not use it .,0,1,0.4958,0.5042,0.5042,FP (誤報正類)
896,time changer may not be the most memorable cinema session but its profound self-evaluation message about our fragile existence and the absence of spiritual guidance should at least invade an abundance of mindsets but its profound self-evaluation message about our fragile existence and the absence of spiritual guidance should at least invade an abundance of mindsets,1,0,0.5038,0.4962,0.5038,FN (漏報正類)
