row_id,TEXT,LABEL,SPLIT_TEXT,NUM_SPLITS
34,"this road movie gives you emotional whiplash , and you 'll be glad you went along for the ride .",1,"[""this road movie gives you emotional whiplash , and you 'll be glad you went along for the ride .""]",1
35,"stars matthew perry and elizabeth hurley illicit more than a chuckle , and more jokes land than crash , but ultimately serving sara does n't distinguish itself from the herd .",0,"['stars matthew perry and elizabeth hurley illicit more than a chuckle ,', 'and more jokes land than crash ,', ""but ultimately serving sara does n't distinguish itself from the herd .""]",3
36,"a triumph , relentless and beautiful in its downbeat darkness .",1,"['a triumph , relentless and beautiful in its downbeat darkness .']",1
37,"a very witty take on change , risk and romance , and the film uses humour to make its points about acceptance and growth .",1,"['a very witty take on change , risk and romance ,', 'and the film uses humour to make its points about acceptance and growth .']",2
38,perfect size for preparing dishes . it really works well .,1,['perfect size for preparing dishes . it really works well .'],1
39,it keeps the air clean and nice fresh smelling .,1,['it keeps the air clean and nice fresh smelling .'],1
40,i do n't have an i am sam clue .,0,"[""i do n't have an i am sam clue .""]",1
41,but the back side looks nice as well .,1,['but the back side looks nice as well .'],1
42,"a dreary , incoherent , self-indulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours ... a cacophony of pretentious , meaningless prattle .",0,"['a dreary , incoherent , self-indulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours ... a cacophony of pretentious , meaningless prattle .']",1
43,think of it as a sort of comfort food for the mind .,1,['think of it as a sort of comfort food for the mind .'],1
44,this keeps the cord out of the way and above the board .,1,['this keeps the cord out of the way and above the board .'],1
45,"what will , most likely , turn out to be the most repellent movie of 2002 .",0,"['what will , most likely , turn out to be the most repellent movie of 2002 .']",1
46,item arrived in num_num days in bulk packaging exactly like j .,1,['item arrived in num_num days in bulk packaging exactly like j .'],1
47,a chaotic panorama that 's too busy flying a lot of metaphoric flags .,0,"[""a chaotic panorama that 's too busy flying a lot of metaphoric flags .""]",1
48,"and ,  there were many things we liked about this game .",0,"['and ,  there were many things we liked about this game .']",1
49,what makes the movie a comedy is the way it avoids the more serious emotions involved .,1,['what makes the movie a comedy is the way it avoids the more serious emotions involved .'],1
50,thank heaven the operation is intuitive because there are no instructions .,0,['thank heaven the operation is intuitive because there are no instructions .'],1
51,i miss my days of cracker eating before becoming gluten free .,0,['i miss my days of cracker eating before becoming gluten free .'],1
52,"so ,  to me this is pretty darn  instant  .",1,"['so ,  to me this is pretty darn  instant  .']",1
53,a well-made and often lovely depiction of the mysteries of friendship .,1,['a well-made and often lovely depiction of the mysteries of friendship .'],1
54,"occasionally melodramatic , it 's also extremely effective .",1,"[""occasionally melodramatic , it 's also extremely effective .""]",1
55,"even with all those rough edges safely sanded down , the american insomnia is still pretty darned good .",1,"['even with all those rough edges safely sanded down , the american insomnia is still pretty darned good .']",1
56,"like i said ,  it works ,  these are ok .",1,"['like i said ,  it works ,  these are ok .']",1
57,this is junk food cinema at its greasiest .,0,['this is junk food cinema at its greasiest .'],1
58,"-lrb- wendigo is -rrb- why we go to the cinema : to be fed through the eye , the heart , the mind .",1,"['-lrb- wendigo is -rrb- why we go to the cinema : to be fed through the eye , the heart , the mind .']",1
59,"a mix of velocity and idiocy , this ruinous remake lacks the brawn -- and the brains -- of the 1970s original .",0,"['a mix of velocity and idiocy , this ruinous remake lacks the brawn -- and the brains -- of the 1970s original .']",1
60,"without september 11 , collateral damage would have been just another bad movie .",0,"['without september 11 , collateral damage would have been just another bad movie .']",1
61,"my little girl wanted this for her birthday ,  so we got it .",0,"['my little girl wanted this for her birthday ,  so we got it .']",1
62,i wouldn t trade them but this is a great knife for the price .,1,"['i wouldn t trade them', 'but this is a great knife for the price .']",2
63,"static , repetitive , muddy and blurry , hey arnold !",0,"['static , repetitive , muddy and blurry , hey arnold !']",1
64,a predictable and stereotypical little b-movie .,0,['a predictable and stereotypical little b-movie .'],1
65,"so many documentaries like this presuppose religious bigotry or zealous nuttiness of its antagonists , but family fundamentals displays a rare gift for unflinching impartiality .",1,"['so many documentaries like this presuppose religious bigotry or zealous nuttiness of its antagonists ,', 'but family fundamentals displays a rare gift for unflinching impartiality .']",2
66,flaccid drama and exasperatingly slow journey .,0,['flaccid drama and exasperatingly slow journey .'],1
67,the movie will reach far beyond its core demographic .,1,['the movie will reach far beyond its core demographic .'],1
68,one to another company and two to amazon . com .,1,['one to another company and two to amazon . com .'],1
69,"though howard demonstrates a great eye as a director , this southern gothic drama is sadly a tough sit , with an undeveloped narrative and enough flashbacks and heavy-handed metaphors to choke a horse -- or at least slow him down to a canter .",0,"['though howard demonstrates a great eye as a director , this southern gothic drama is sadly a tough sit , with an undeveloped narrative and enough flashbacks and heavy-handed metaphors to choke a horse -- or at least slow him down to a canter .']",1
70,it stays stable in your ear very nicely and is surprisingly very comfortable .,1,['it stays stable in your ear very nicely and is surprisingly very comfortable .'],1
71,the material that it is made of is like a dirt magnet .,0,['the material that it is made of is like a dirt magnet .'],1
72,a meeting my phone is in the bag charging .,1,['a meeting my phone is in the bag charging .'],1
73,if you can afford it step up to something that will last .,0,['if you can afford it step up to something that will last .'],1
74,i would not trust anything bigger than iphone num_extend,0,['i would not trust anything bigger than iphone num_extend'],1
75,i was concerned for the price that these measuring cups would be flimsy .,1,['i was concerned for the price that these measuring cups would be flimsy .'],1
76,the movie exists for its soccer action and its fine acting .,1,['the movie exists for its soccer action and its fine acting .'],1
77,the bottom most container is not as small as one would think .,1,['the bottom most container is not as small as one would think .'],1
78,"usually when i get this much syrup , i like pancakes to go with it .",0,"['usually when i get this much syrup , i like pancakes to go with it .']",1
79,"this headset is awesome ,  the sound quality is truly amazing .",1,"['this headset is awesome ,  the sound quality is truly amazing .']",1
80,ford deserves to be remembered at oscar time for crafting this wonderful portrait of a conflicted soldier .,1,['ford deserves to be remembered at oscar time for crafting this wonderful portrait of a conflicted soldier .'],1
81,trying to slide to a different screen instantly turns it back off .,0,['trying to slide to a different screen instantly turns it back off .'],1
82,steve irwin 's method is ernest hemmingway at accelerated speed and volume .,1,"[""steve irwin 's method is ernest hemmingway at accelerated speed and volume .""]",1
83,that is sufficiently minor as to not affect my rating .,1,['that is sufficiently minor as to not affect my rating .'],1
84,"the picture , scored by a perversely cheerful marcus miller accordion\/harmonica\/banjo abomination , is a monument to bad in all its florid variety .",0,"['the picture , scored by a perversely cheerful marcus miller accordion\\/harmonica\\/banjo abomination , is a monument to bad in all its florid variety .']",1
85,high crimes miscasts nearly every leading character .,0,['high crimes miscasts nearly every leading character .'],1
86,a captivating cross-cultural comedy of manners .,1,['a captivating cross-cultural comedy of manners .'],1
87,"like a tone-deaf singer at a benefit concert , john q. is a bad movie appearing on behalf of a good cause .",0,"['like a tone-deaf singer at a benefit concert , john q. is a bad movie appearing on behalf of a good cause .']",1
88,life is a crock -- or something like it .,0,['life is a crock -- or something like it .'],1
89,"for its seriousness , high literary aspirations and stunning acting , the film can only be applauded .",1,"['for its seriousness , high literary aspirations and stunning acting , the film can only be applauded .']",1
90,replaced my pampered chef garlic press with this one .,1,['replaced my pampered chef garlic press with this one .'],1
91,i love the floral design and the colors .,1,['i love the floral design and the colors .'],1
92,i have read reviews from wine experts that it doesn t work .,1,['i have read reviews from wine experts that it doesn t work .'],1
93,a richly imagined and admirably mature work from a gifted director who definitely has something on his mind .,1,['a richly imagined and admirably mature work from a gifted director who definitely has something on his mind .'],1
94,"superior genre storytelling , which gets under our skin simply by crossing the nuclear line .",1,"['superior genre storytelling , which gets under our skin simply by crossing the nuclear line .']",1
95,fear dot com is so rambling and disconnected it never builds any suspense .,0,"['fear dot com is so rambling', 'and disconnected it never builds any suspense .']",2
96,i think i will return and stick with wool gloves .,0,"['i think i will return', 'and stick with wool gloves .']",2
97,so not that great for leaving on at night .,0,['so not that great for leaving on at night .'],1
98,"places a slightly believable love triangle in a difficult-to-swallow setting , and then disappointingly moves the story into the realm of an improbable thriller .",0,"['places a slightly believable love triangle in a difficult-to-swallow setting ,', 'and then disappointingly moves the story into the realm of an improbable thriller .']",2
99,"the tug-of-war at the core of beijing bicycle becomes weighed down with agonizing contrivances , overheated pathos and long , wistful gazes .",0,"['the tug-of-war at the core of beijing bicycle becomes weighed down with agonizing contrivances , overheated pathos and long , wistful gazes .']",1
100,"in the second half of the film , frei 's control loosens in direct proportion to the amount of screen time he gives nachtwey for self-analysis .",0,"[""in the second half of the film , frei 's control loosens in direct proportion to the amount of screen time he gives nachtwey for self-analysis .""]",1
101,"it 's so underwritten that you ca n't figure out just where the other characters , including ana 's father and grandfather , come down on the issue of ana 's future .",0,"[""it 's so underwritten that you ca n't figure out just where the other characters , including ana 's father and grandfather , come down on the issue of ana 's future .""]",1
102,imagine the james woods character from videodrome making a home movie of audrey rose and showing it to the kid from the sixth sense and you 've imagined the ring .,0,"['imagine the james woods character from videodrome making a home movie of audrey rose', 'and showing it to the kid from the sixth sense', ""and you 've imagined the ring .""]",3
103,i think this size wont do a bigger bird than num_num pounds .,1,['i think this size wont do a bigger bird than num_num pounds .'],1
104,"it does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism .",1,"['it does succeed by following a feel-good formula with a winning style ,', 'and by offering its target audience of urban kids some welcome role models and optimism .']",2
105,"it s very black ,  and it does add volume .",0,"['it s very black ,', 'and it does add volume .']",2
106,i don t see what others have liked about this .,0,['i don t see what others have liked about this .'],1
107,i received them as a christmas present and i love them .,1,"['i received them as a christmas present', 'and i love them .']",2
108,i was glad to see it was still available .,1,['i was glad to see it was still available .'],1
109,nice not to have a burner going for hours .,1,['nice not to have a burner going for hours .'],1
110,the last time i did it was a year ago  .,1,['the last time i did it was a year ago  .'],1
111,i purchased two to mount horizontally under the shelves of my kitchen island .,1,['i purchased two to mount horizontally under the shelves of my kitchen island .'],1
112,"the pleasures of super troopers may be fleeting , but they 'll register strongly with anybody who still retains a soft spot for precollegiate humor .",1,"['the pleasures of super troopers may be fleeting ,', ""but they 'll register strongly with anybody who still retains a soft spot for precollegiate humor .""]",2
113,plugs the ipad into my car and works great .,1,"['plugs the ipad into my car', 'and works great .']",2
114,the flap also is good and does not come loose at all .,1,"['the flap also is good', 'and does not come loose at all .']",2
115,"it 's a sly wink to the others without becoming a postmodern joke , made creepy by its `` men in a sardine can '' warped logic .",1,"[""it 's a sly wink to the others without becoming a postmodern joke , made creepy by its `` men in a sardine can '' warped logic .""]",1
116,"an unsatisfying hybrid of blair witch and typical stalk-and-slash fare , where the most conservative protagonist is always the last one living .",0,"['an unsatisfying hybrid of blair witch and typical stalk-and-slash fare , where the most conservative protagonist is always the last one living .']",1
117,i purchased this jawbone hd as a replacement for an older jawbone thinker .,0,['i purchased this jawbone hd as a replacement for an older jawbone thinker .'],1
118,but what spectacular sizzle it is !,1,['but what spectacular sizzle it is !'],1
119,"toasts bread ,  muffins and bagels with lots of options to choose .",1,"['toasts bread ,  muffins and bagels with lots of options to choose .']",1
120,"despite the authenticity of the trappings , the film is overblown in its plotting , hackneyed in its dialogue and anachronistic in its style .",0,"['despite the authenticity of the trappings , the film is overblown in its plotting , hackneyed in its dialogue and anachronistic in its style .']",1
121,a film that is a portrait of grace in an imperfect world .,1,['a film that is a portrait of grace in an imperfect world .'],1
122,"herzog is obviously looking for a moral to his fable , but the notion that a strong , unified showing among germany and eastern european jews might have changed 20th-century history is undermined by ahola 's inadequate performance .",0,"['herzog is obviously looking for a moral to his fable ,', ""but the notion that a strong , unified showing among germany and eastern european jews might have changed 20th-century history is undermined by ahola 's inadequate performance .""]",2
123,"the overall feel of the film is pretty cheesy , but there 's still a real sense that the star trek tradition has been honored as best it can , given the embarrassing script and weak direction .",0,"['the overall feel of the film is pretty cheesy ,', ""but there 's still a real sense that the star trek tradition has been honored as best it can , given the embarrassing script and weak direction .""]",2
124,"dialogue-heavy and too cerebral for its own good -- or , at any rate , too cerebral for its racy subject matter .",0,"['dialogue-heavy and too cerebral for its own good -- or , at any rate , too cerebral for its racy subject matter .']",1
125,i use it charge my batteries since my usb port is not an option .,1,['i use it charge my batteries since my usb port is not an option .'],1
126,"feels like one of those contrived , only-in - hollywood productions where name actors deliver big performances created for the sole purpose of generating oscar talk .",0,"['feels like one of those contrived , only-in - hollywood productions where name actors deliver big performances created for the sole purpose of generating oscar talk .']",1
127,this film 's relationship to actual tension is the same as what christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .,0,"[""this film 's relationship to actual tension is the same as what christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation .""]",1
128,"great charger ,  though there may be cheaper options .",1,"['great charger ,', 'though there may be cheaper options .']",2
129,all my testing proves the same . hope that helps .,1,['all my testing proves the same . hope that helps .'],1
130,i ve used these a few times and broke them very easily .,0,"['i ve used these a few times', 'and broke them very easily .']",2
131,so far i am not at all happy .,0,['so far i am not at all happy .'],1
132,"one of those rare , exhilarating cinematic delights that gets even better in hindsight , as you mull over its every nuance in your mind .",1,"['one of those rare , exhilarating cinematic delights that gets even better in hindsight , as you mull over its every nuance in your mind .']",1
133,westfeldt and juergensen exude a chemistry and comfort level that 's both saucy and endearing .,1,"[""westfeldt and juergensen exude a chemistry and comfort level that 's both saucy and endearing .""]",1
134,but it offers plenty to ponder and chew on as its unusual relationship slowly unfolds .,1,"['but it offers plenty to ponder', 'and chew on as its unusual relationship slowly unfolds .']",2
135,writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear .,1,['writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear .'],1
136,imagine if you will a tony hawk skating video interspliced with footage from behind enemy lines and set to jersey shore techno .,0,"['imagine if you will a tony hawk skating video interspliced with footage from behind enemy lines', 'and set to jersey shore techno .']",2
137,"order it with something else ,  and you ll get free shipping .",1,"['order it with something else ,', 'and you ll get free shipping .']",2
138,the only element of suspense is whether the movie will change titles or distributors again before the closing credits roll .,0,['the only element of suspense is whether the movie will change titles or distributors again before the closing credits roll .'],1
139,"shainberg weaves a carefully balanced scenario that is controlled by neither character , is weirdly sympathetic to both and manages to be tender and darkly comic .",1,"['shainberg weaves a carefully balanced scenario that is controlled by neither character , is weirdly sympathetic to both', 'and manages to be tender and darkly comic .']",2
140,no. .,0,['no. .'],1
141,these run quite small even though they are stretchy .,0,"['these run quite small even', 'though they are stretchy .']",2
142,"whether seen on a 10-inch television screen or at your local multiplex , the edge-of-your-seat , educational antics of steve irwin are priceless entertainment .",1,"['whether seen on a 10-inch television screen or at your local multiplex , the edge-of-your-seat , educational antics of steve irwin are priceless entertainment .']",1
143,this case is far from what i expected .,0,['this case is far from what i expected .'],1
144,"as a singular character study , it 's perfect .",1,"[""as a singular character study , it 's perfect .""]",1
145,"complex , affecting and uniquely almod??var , the film evokes strong emotions and pushes viewers to question their deepest notions of moral right and wrong .",1,"['complex , affecting and uniquely almod??var , the film evokes strong emotions', 'and pushes viewers to question their deepest notions of moral right and wrong .']",2
146,the smartest bonehead comedy of the summer .,1,['the smartest bonehead comedy of the summer .'],1
147,it is best to invest in a good set of makeup brushes .,0,['it is best to invest in a good set of makeup brushes .'],1
148,i made flour tortillas that night for our mexican burrito dinner .,1,['i made flour tortillas that night for our mexican burrito dinner .'],1
149,i would not buy anything else from this vendor .,0,['i would not buy anything else from this vendor .'],1
150,there are films that try the patience of even the most cinema-besotted critic -- and this was one of them .,0,['there are films that try the patience of even the most cinema-besotted critic -- and this was one of them .'],1
151,this salad spinner is durable and easy to use .,1,['this salad spinner is durable and easy to use .'],1
152,"for the price ,  this is a good buy .",1,"['for the price ,  this is a good buy .']",1
153,but fans should have fun meeting a brand-new pokemon called celebi .,1,['but fans should have fun meeting a brand-new pokemon called celebi .'],1
154,"audiences conditioned to getting weepy over saucer-eyed , downy-cheeked moppets and their empathetic caretakers will probably feel emotionally cheated by the film 's tart , sugar-free wit .",0,"[""audiences conditioned to getting weepy over saucer-eyed , downy-cheeked moppets and their empathetic caretakers will probably feel emotionally cheated by the film 's tart , sugar-free wit .""]",1
155,not to mention it did not fit my screen completely .,0,['not to mention it did not fit my screen completely .'],1
156,there are num_num bright leds for taking pictures or just as a flashlight .,1,['there are num_num bright leds for taking pictures or just as a flashlight .'],1
157,"i enjoyed the ride -lrb- bumps and all -rrb- , creamy depth , and ultimate theme .",1,"['i enjoyed the ride -lrb- bumps and all -rrb- , creamy depth , and ultimate theme .']",1
158,"i saw knockaround guys yesterday , and already the details have faded like photographs from the spanish-american war ... it 's so unmemorable that it turned my ballpoint notes to invisible ink .",0,"['i saw knockaround guys yesterday ,', ""and already the details have faded like photographs from the spanish-american war ... it 's so unmemorable that it turned my ballpoint notes to invisible ink .""]",2
159,my dish feels very solid to the touch .,1,['my dish feels very solid to the touch .'],1
160,$ is too much to pay for a $ cable .,0,['$ is too much to pay for a $ cable .'],1
161,"by the end of no such thing the audience , like beatrice , has a watchful affection for the monster .",1,"['by the end of no such thing the audience , like beatrice , has a watchful affection for the monster .']",1
162,but it pays a price for its intricate intellectual gamesmanship .,0,['but it pays a price for its intricate intellectual gamesmanship .'],1
163,we have been treating our hair for months and finally got this .,0,"['we have been treating our hair for months', 'and finally got this .']",2
164,i bought this set for our toaster oven .,0,['i bought this set for our toaster oven .'],1
165,just hurry up and play the darn song and move on for goodness sake .,0,"['just hurry up', 'and play the darn song', 'and move on for goodness sake .']",3
166,"the plot is straight off the shelf , the performances are television - caliber and the message of providing solace through deception is a little creepy .",0,"['the plot is straight off the shelf , the performances are television - caliber and the message of providing solace through deception is a little creepy .']",1
167,while mcfarlane 's animation lifts the film firmly above the level of other coming-of-age films ... it 's also so jarring that it 's hard to get back into the boys ' story .,0,"[""while mcfarlane 's animation lifts the film firmly above the level of other coming-of-age films ... it 's also so jarring that it 's hard to get back into the boys ' story .""]",1
168,"everything that has to do with yvan and charlotte , and everything that has to do with yvan 's rambunctious , jewish sister and her non-jew husband , feels funny and true .",1,"[""everything that has to do with yvan and charlotte , and everything that has to do with yvan 's rambunctious , jewish sister and her non-jew husband , feels funny and true .""]",1
169,this one does the job i need it for !  .,1,['this one does the job i need it for !  .'],1
170,"when it 's all wet , blue crush is highly enjoyable .",1,"[""when it 's all wet , blue crush is highly enjoyable .""]",1
171,unfortunately this product did not do much for me .,0,['unfortunately this product did not do much for me .'],1
172,still it is a fun learning experience and so far so good .,1,['still it is a fun learning experience and so far so good .'],1
173,a deviant topical comedy which is funny from start to finish .,1,['a deviant topical comedy which is funny from start to finish .'],1
174,if you can get past the fantastical aspects and harsh realities of `` the isle '' you 'll get a sock-you-in-the-eye flick that is a visual tour-de-force and a story that is unlike any you will likely see anywhere else .,1,"[""if you can get past the fantastical aspects and harsh realities of `` the isle '' you 'll get a sock-you-in-the-eye flick that is a visual tour-de-force and a story that is unlike any you will likely see anywhere else .""]",1
175,this did not stop odor and my pets wanted to eat it .,0,"['this did not stop odor', 'and my pets wanted to eat it .']",2
176,not a good product for conditioning even though it says it has shea butter .,0,"['not a good product for conditioning even', 'though it says it has shea butter .']",2
177,he s heavy and stable enough to not tip over when it s windy .,1,['he s heavy and stable enough to not tip over when it s windy .'],1
178,the filmmakers skillfully evoke the sense of menace that nature holds for many urban dwellers .,1,['the filmmakers skillfully evoke the sense of menace that nature holds for many urban dwellers .'],1
179,and do not remove part one of the screen until part two is applied .,1,['and do not remove part one of the screen until part two is applied .'],1
180,i may even give some as gifts this holiday season .,1,['i may even give some as gifts this holiday season .'],1
181,"it it pretty hardy ,  i haven t broken it yet .",1,"['it it pretty hardy ,  i haven t broken it', 'yet .']",2
182,well-shot but badly written tale set in a future ravaged by dragons .,0,"['well-shot', 'but badly written tale set in a future ravaged by dragons .']",2
183,"these are lives worth watching , paths worth following .",1,"['these are lives worth watching , paths worth following .']",1
184,i cannot wait to show it off ! thank you !  .,1,['i cannot wait to show it off ! thank you !  .'],1
185,like how many times you face the nazgul and how easily they are beaten .,0,"['like how many times you face the nazgul', 'and how easily they are beaten .']",2
186,beyond a handful of mildly amusing lines ... there just is n't much to laugh at .,0,"[""beyond a handful of mildly amusing lines ... there just is n't much to laugh at .""]",1
187,spent more time fiddling with this than i did looking at the road .,0,['spent more time fiddling with this than i did looking at the road .'],1
188,i bought the lowest priced model more to test the brand than anything else .,1,['i bought the lowest priced model more to test the brand than anything else .'],1
189,i though it would be faster and easier but it wasn t .,1,"['i', 'though it would be faster and easier', 'but it wasn t .']",3
190,if your bike had a kickstand on the plate it won t lock down .,0,['if your bike had a kickstand on the plate it won t lock down .'],1
191,something the true film buff will enjoy .,1,['something the true film buff will enjoy .'],1
192,most of crush is a clever and captivating romantic comedy with a welcome pinch of tartness .,1,['most of crush is a clever and captivating romantic comedy with a welcome pinch of tartness .'],1
193,i tried everything short of breaking the thing open .,0,['i tried everything short of breaking the thing open .'],1
194,"great headset ,  solid build quality and blocks out the wind .",1,"['great headset ,  solid build quality', 'and blocks out the wind .']",2
195,i loved the food for my cats as you can read below .,0,['i loved the food for my cats as you can read below .'],1
196,"its like that showtime rotisserrie oven ,  you set it and forget it .",1,"['its like that showtime rotisserrie oven ,  you set it', 'and forget it .']",2
197,i ordered these from amazon since i could find them nowhere in my area .,0,['i ordered these from amazon since i could find them nowhere in my area .'],1
198,i had much better luck with the other three pairs mentioned .,0,['i had much better luck with the other three pairs mentioned .'],1
199,i put in a password but router won t recoginize it .,0,"['i put in a password', 'but router won t recoginize it .']",2
200,"it takes this never-ending confusion and hatred , puts a human face on it , evokes shame among all who are party to it and even promotes understanding .",1,"['it takes this never-ending confusion and hatred , puts a human face on it , evokes shame among all who are party to it', 'and even promotes understanding .']",2
201,i got this as a gift for my son .,1,['i got this as a gift for my son .'],1
202,"num_extend has much better graphics ,  better sound ,  slightly better control .",0,"['num_extend has much better graphics ,  better sound ,  slightly better control .']",1
203,maybe i found the proceedings a little bit too conventional .,0,['maybe i found the proceedings a little bit too conventional .'],1
204,it basically picks up what is directly in front of it .,1,['it basically picks up what is directly in front of it .'],1
205,"what full frontal lacks in thematic coherence it largely makes up for as loosey-goosey , experimental entertainment .",1,"['what full frontal lacks in thematic coherence it largely makes up for as loosey-goosey , experimental entertainment .']",1
206,... the sum of the parts equals largely a confused mediocrity .,0,['... the sum of the parts equals largely a confused mediocrity .'],1
207,almost everything else is wan .,0,['almost everything else is wan .'],1
208,this style of meat pounder is sort of commodity like .,1,['this style of meat pounder is sort of commodity like .'],1
209,"even as lame horror flicks go , this is lame .",0,"['even as lame horror flicks go , this is lame .']",1
210,they pile up nice in the closet and clean up great in the dishwasher .,1,"['they pile up nice in the closet', 'and clean up great in the dishwasher .']",2
211,"a boring , wincingly cute and nauseatingly politically correct cartoon guaranteed to drive anyone much over age 4 screaming from the theater .",0,"['a boring , wincingly cute and nauseatingly politically correct cartoon guaranteed to drive anyone much over age 4 screaming from the theater .']",1
212,the film runs on equal parts of innocence and wisdom -- wisdom that comes with experience .,1,['the film runs on equal parts of innocence and wisdom -- wisdom that comes with experience .'],1
213,the wheel oftenly stuck and wont turn on its rail .,0,"['the wheel oftenly stuck', 'and wont turn on its rail .']",2
214,i would not suggest this on black iphones .,1,['i would not suggest this on black iphones .'],1
215,one minute per slice seems like a good rule of thumb so far .,1,['one minute per slice seems like a good rule of thumb so far .'],1
216,the cheese came out light and fluffy wished i had had one earlier .,1,"['the cheese came out light', 'and fluffy wished i had had one earlier .']",2
217,"auto shut off after num_num hours ,  which is a good feature .",1,"['auto shut off after num_num hours ,  which is a good feature .']",1
